,genre_id,genre
0,100,Calendars
1,101,Comics & Graphic Novels
2,102,Test Preparation
3,103,"Mystery, Thriller & Suspense"
4,104,Science Fiction & Fantasy
5,105,Romance
6,106,Humor & Entertainment
7,107,Literature & Fiction
8,108,Gay & Lesbian
9,109,Engineering & Transportation
10,110,"Cookbooks, Food & Wine"
11,111,"Crafts, Hobbies & Home"
12,112,Arts & Photography
13,113,Education & Teaching
14,114,Parenting & Relationships
15,115,Self-Help
16,116,Computers & Technology
17,117,Medical Books
18,118,Science & Math
19,119,"Health, Fitness & Dieting"
20,120,Business & Money
21,121,Law
22,122,Biographies & Memoirs
23,123,History
24,124,Politics & Social Sciences
25,125,Reference
26,126,Christian Books & Bibles
27,127,Religion & Spirituality
28,128,Sports & Outdoors
29,129,Teen & Young Adult
30,130,Children's Books
31,131,Travel
